name,price,type,color,psu,side_panel,external_volume,internal_35_bays,compatible_form_factors,estimated_max_gpu_length_mm
Montech XR,83.59,ATX Mid Tower,Black,,Tempered Glass,45,2,ATX|Micro ATX|Mini ITX,360
Phanteks XT PRO,67.98,ATX Mid Tower,Black,,Tempered Glass,51.8,2,ATX|Micro ATX|Mini ITX,360
NZXT H5 Flow (2024),84.99,ATX Mid Tower,Black,,Tempered Glass,45,1,ATX|Micro ATX|Mini ITX,360
Corsair 3500X ARGB,115.99,ATX Mid Tower,White,,Tempered Glass,55.9,2,ATX|Micro ATX|Mini ITX,360
Cooler Master MasterBox Q300L,45.98,MicroATX Mini Tower,Black,,Acrylic,33.6,1,Micro ATX|Mini ITX,300
Corsair 4000D Airflow,94.99,ATX Mid Tower,Black,,Tinted Tempered Glass,48.6,2,ATX|Micro ATX|Mini ITX,360
Lian Li Lancool 207,81.99,ATX Mid Tower,Blue,,Tempered Glass,45.5,2,ATX|Micro ATX|Mini ITX,360
NZXT H9 Flow (2023),119.99,ATX Mid Tower,Black,,Tempered Glass,66.9,2,ATX|Micro ATX|Mini ITX,360
Lian Li O11 VISION COMPACT,124.99,ATX Mid Tower,White,,Tempered Glass,57.4,2,ATX|Micro ATX|Mini ITX,360
Corsair 3500X ARGB,115.99,ATX Mid Tower,Black,,Tempered Glass,55.9,2,ATX|Micro ATX|Mini ITX,360
Montech AIR 100 ARGB,69.9,MicroATX Mid Tower,Black,,Tempered Glass,36.1,2,Micro ATX|Mini ITX,330
Montech AIR 903 MAX,74.99,ATX Mid Tower,Black,,Tempered Glass,54.2,2,ATX|Micro ATX|Mini ITX,360
Lian Li A3-mATX,72.98,MicroATX Mini Tower,Black,,Mesh,26.3,1,Micro ATX|Mini ITX,300
Fractal Design North,139.99,ATX Mid Tower,Black,,Tempered Glass,45.1,2,ATX|Micro ATX|Mini ITX,360
HYTE Y70 Touch Infinite,439.95,ATX Mid Tower,White,,Tempered Glass,70.7,2,ATX|Micro ATX|Mini ITX,360
Fractal Design North XL,179.99,ATX Full Tower,Black,,Tinted Tempered Glass,61.4,2,EATX|ATX|Micro ATX|Mini ITX,420
Lian Li O11 VISION COMPACT,124.99,ATX Mid Tower,Black,,Tempered Glass,57.4,2,ATX|Micro ATX|Mini ITX,360
NZXT H5 Flow (2024),59.99,ATX Mid Tower,White,,Tempered Glass,45,1,ATX|Micro ATX|Mini ITX,360
